AFFY ID	AGI
263707_at	At1g09300
263709_at	At1g09310
263708_at	At1g09320
263710_at	At1g09330
263676_at	At1g09340
264511_at	At1g09350
264555_at	At1g09360
264500_at	At1g09370
264505_at	At1g09380
264501_at	At1g09390
264502_at	At1g09400
264503_at	At1g09410
264507_at	At1g09415
264513_at	At1g09420
264504_at	At1g09430
264549_at	At1g09440
264550_at	At1g09450
264551_at	At1g09460
264514_at	At1g09500
264554_at	At1g09510
264510_at	At1g09530
264557_at	At1g09550
264506_at	At1g09560
264508_at	At1g09570
264512_at	At1g09575
264558_at	At1g09600
264559_at	At1g09610
264705_at	At1g09620
264669_at	At1g09630
264664_at	At1g09660
264665_at	At1g09660
264666_at	At1g09680
264677_at	At1g09700
264706_at	At1g09720
264707_at	At1g09730
264708_at	At1g09740
264672_at	At1g09750
264678_at	At1g09760
264709_at	At1g09770
264668_at	At1g09780
264710_at	At1g09790
264673_at	At1g09795
264711_at	At1g09800
264712_at	At1g09810
264674_at	At1g09815
264713_at	At1g09820
264675_at	At1g09830
264686_at	At1g09840
264687_at	At1g09850
264676_at	At1g09870
264688_at	At1g09890
264689_at	At1g09900
264658_at	At1g09910
264671_at	At1g09920
264659_at	At1g09930
264660_at	At1g09940
264661_at	At1g09950
264662_at	At1g09960
264663_at	At1g09970
264518_at	At1g09980
264519_at	At1g10000
264520_at	At1g10010
264521_at	At1g10020
264523_at	At1g10030
264522_at	At1g10050
264525_at	At1g10060
264524_at	At1g10070
264515_at	At1g10090
264516_at	At1g10090
257417_at	At1g10110
264517_at	At1g10120
264526_at	At1g10130
264467_at	At1g10140
264463_at	At1g10150
264459_at	At1g10160
264460_at	At1g10170
264407_at	At1g10180
264462_at	At1g10200
264405_at	At1g10210
264465_at	At1g10230
264408_at	At1g10240
264452_at	At1g10270
264406_at	At1g10290
264453_at	At1g10300
264468_at	At1g10310
264454_at	At1g10320
264455_at	At1g10330
264434_at	At1g10340
264464_at	At1g10350
264435_at	At1g10360
264436_at	At1g10370
264466_at	At1g10380
264456_at	At1g10390
264457_at	At1g10400
264458_at	At1g10410
263234_at	At1g10420
263235_at	At1g10430
263211_at	At1g10460
263236_at	At1g10470
263208_at	At1g10480
263255_at	At1g10490
263256_at	At1g10500
263212_at	At1g10510
263257_at	At1g10520
263209_at	At1g10522
257450_at	At1g10530
263258_at	At1g10540
263207_at	At1g10550
263259_at	At1g10560
263260_at	At1g10570
263210_at	At1g10585
263206_at	At1g10590
263237_at	At1g10610
261830_at	At1g10620
261831_at	At1g10630
261834_at	At1g10640
261832_at	At1g10650
257477_at	At1g10660
261833_at	At1g10670
261829_at	At1g10680
262788_at	At1g10690
262762_at	At1g10700
262792_at	At1g10710
262761_at	At1g10720
262787_at	At1g10730
262786_at	At1g10740
262785_at	At1g10750
262784_at	At1g10760
262760_at	At1g10770
262758_at	At1g10780
262759_at	At1g10800
262789_at	At1g10810
262791_at	At1g10830
262790_at	At1g10840
262783_at	At1g10850
260469_at	At1g10870
260473_at	At1g10880
260467_at	At1g10890
260466_at	At1g10900
260465_at	At1g10910
260464_at	At1g10920
260480_at	At1g10940
260482_at	At1g10950
260481_at	At1g10960
260462_at	At1g10970
260461_at	At1g10980
260472_at	At1g10990
260483_at	At1g11000
260479_at	At1g11020
260478_at	At1g11040
260477_at	At1g11050
260476_at	At1g11060
260471_at	At1g11070
260475_at	At1g11080
260474_at	At1g11090
260468_at	At1g11100
260470_at	At1g11120
262451_at	At1g11130
262479_at	At1g11130
262449_at	At1g11160
262478_at	At1g11170
262454_at	At1g11190
262457_at	At1g11200
262452_at	At1g11210
262477_at	At1g11220
262453_at	At1g11240
262511_at	At1g11250
262456_at	At1g11260
262510_at	At1g11270
262458_at	At1g11280
262509_at	At1g11290
262508_at	At1g11300
262455_at	At1g11310
262450_at	At1g11320
262507_at	At1g11330
262480_at	At1g11340
261873_at	At1g11350
261828_at	At1g11360
261849_at	At1g11370
261822_at	At1g11380
261818_at	At1g11390
261823_at	At1g11400
261819_at	At1g11410
261820_at	At1g11420
261824_at	At1g11430
261871_at	At1g11440
261869_at	At1g11470
261827_at	At1g11480
261821_at	At1g11530
261846_at	At1g11540
261825_at	At1g11545
261847_at	At1g11560
261870_at	At1g11570
261826_at	At1g11580
261848_at	At1g11590
262819_at	At1g11600
262815_at	At1g11610
262822_at	At1g11630
262824_at	At1g11650
262814_at	At1g11660
262813_at	At1g11670
262820_at	At1g11680
262812_at	At1g11690
262811_at	At1g11700
262810_at	At1g11710
262809_at	At1g11720
262808_at	At1g11730
262807_at	At1g11740
262823_at	At1g11750
262818_at	At1g11760
262817_at	At1g11770
262816_at	At1g11780
262825_at	At1g11790
262821_at	At1g11800
264372_at	At1g11840
264343_at	At1g11850
264394_at	At1g11860
264350_at	At1g11870
264393_at	At1g11880
264373_at	At1g11890
264392_at	At1g11900
264344_at	At1g11910
264345_at	At1g11915
264391_at	At1g11920
264349_at	At1g11930
257422_at	At1g11940
264390_at	At1g11950
264389_at	At1g11960
264388_at	At1g11970
264387_at	At1g11990
264386_at	At1g12000
264346_at	At1g12010
264385_at	At1g12020
257421_at	At1g12030
264347_at	At1g12040
264396_at	At1g12050
264395_at	At1g12070
